date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-17,BTC,28JUN19,20000,C,0.0005,96.25,1,3574.46,BTC-28JUN19-20000-C
2019-02-24,BTC,28JUN19,20000,C,0.0005,97.0,3,3741.1,BTC-28JUN19-20000-C
2019-02-26,BTC,28JUN19,20000,C,0.0005,96.9,1,3801.26,BTC-28JUN19-20000-C
2019-02-27,BTC,28JUN19,20000,C,0.0005,97.25,1,3797.29,BTC-28JUN19-20000-C
2019-03-01,BTC,28JUN19,20000,C,0.0005,97.73,2,3801.97,BTC-28JUN19-20000-C
2019-03-03,BTC,28JUN19,20000,C,0.0005,98.91,1,3792.33,BTC-28JUN19-20000-C
2019-03-05,BTC,28JUN19,20000,C,0.0005,100.51,1,3715.2,BTC-28JUN19-20000-C
2019-03-17,BTC,28JUN19,20000,C,0.0005,102.95,2,3976.41,BTC-28JUN19-20000-C
2019-03-20,BTC,28JUN19,20000,C,0.001,110.87,6,4008.63,BTC-28JUN19-20000-C
2019-04-02,BTC,28JUN19,20000,C,0.001,107.42,3,4786.37,BTC-28JUN19-20000-C
2019-04-03,BTC,28JUN19,20000,C,0.001,105.51,2,4963.93,BTC-28JUN19-20000-C
2019-04-05,BTC,28JUN19,20000,C,0.001,106.53,1,5015.68,BTC-28JUN19-20000-C
2019-04-06,BTC,28JUN19,20000,C,0.001,107.17,1,4991.8,BTC-28JUN19-20000-C
2019-04-07,BTC,28JUN19,20000,C,0.001,105.79,1,5134.0,BTC-28JUN19-20000-C
2019-04-08,BTC,28JUN19,20000,C,0.0005,98.86,5,5206.26,BTC-28JUN19-20000-C
2019-04-09,BTC,28JUN19,20000,C,0.001,106.79,9,5198.33,BTC-28JUN19-20000-C
