date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-14,BTC,22FEB19,3500,C,0.0375,48.69,22,3565.62,BTC-22FEB19-3500-C
2019-02-15,BTC,22FEB19,3500,C,0.036000000000000004,47.84,19,3568.82,BTC-22FEB19-3500-C
2019-02-16,BTC,22FEB19,3500,C,0.0385,49.35,7,3589.09,BTC-22FEB19-3500-C
2019-02-17,BTC,22FEB19,3500,C,0.0375,52.2,17,3590.95,BTC-22FEB19-3500-C
2019-02-18,BTC,22FEB19,3500,C,0.0955,68.47,64,3860.97,BTC-22FEB19-3500-C
2019-02-19,BTC,22FEB19,3500,C,0.1105,71.96,18,3932.08,BTC-22FEB19-3500-C
2019-02-20,BTC,22FEB19,3500,C,0.111,124.59,2,3923.82,BTC-22FEB19-3500-C
2019-02-21,BTC,22FEB19,3500,C,0.101,0.0,11,3894.29,BTC-22FEB19-3500-C
