date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-14,BTC,29MAR19,3500,C,0.085,56.37,2,3578.06,BTC-29MAR19-3500-C
2019-02-15,BTC,29MAR19,3500,C,0.08,54.84,5,3563.17,BTC-29MAR19-3500-C
2019-02-16,BTC,29MAR19,3500,C,0.086,57.33,9,3583.82,BTC-29MAR19-3500-C
2019-02-17,BTC,29MAR19,3500,C,0.082,55.6,13,3572.31,BTC-29MAR19-3500-C
2019-02-18,BTC,29MAR19,3500,C,0.133,60.88,19,3875.95,BTC-29MAR19-3500-C
2019-02-19,BTC,29MAR19,3500,C,0.137,61.41,1,3880.2,BTC-29MAR19-3500-C
2019-02-20,BTC,29MAR19,3500,C,0.135,53.76,4,3932.52,BTC-29MAR19-3500-C
