date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-21,BTC,1MAR19,3750,P,0.013,50.32,7,3898.94,BTC-1MAR19-3750-P
2019-02-22,BTC,1MAR19,3750,P,0.0085,49.13,36,3935.61,BTC-1MAR19-3750-P
2019-02-23,BTC,1MAR19,3750,P,0.003,58.28,41,4113.5,BTC-1MAR19-3750-P
2019-02-24,BTC,1MAR19,3750,P,0.03,68.53,72,3750.43,BTC-1MAR19-3750-P
2019-02-25,BTC,1MAR19,3750,P,0.017,66.71,18,3825.86,BTC-1MAR19-3750-P
2019-02-26,BTC,1MAR19,3750,P,0.0135,56.55,18,3789.71,BTC-1MAR19-3750-P
2019-02-27,BTC,1MAR19,3750,P,0.008,59.41,45,3808.26,BTC-1MAR19-3750-P
2019-02-28,BTC,1MAR19,3750,P,0.005,69.94,62,3807.12,BTC-1MAR19-3750-P
