date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-04-05,BTC,19APR19,5250,C,0.0325,70.73,1,4964.08,BTC-19APR19-5250-C
2019-04-06,BTC,19APR19,5250,C,0.040999999999999995,79.19,6,5041.95,BTC-19APR19-5250-C
2019-04-07,BTC,19APR19,5250,C,0.0445,74.64,1,5148.32,BTC-19APR19-5250-C
2019-04-08,BTC,19APR19,5250,C,0.049,74.76,4,5233.25,BTC-19APR19-5250-C
2019-04-09,BTC,19APR19,5250,C,0.038,62.77,8,5225.22,BTC-19APR19-5250-C
2019-04-10,BTC,19APR19,5250,C,0.0345,57.38,3,5236.59,BTC-19APR19-5250-C
