date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-14,BTC,28JUN19,3500,C,0.1375,56.49,1,3561.35,BTC-28JUN19-3500-C
2019-02-15,BTC,28JUN19,3500,C,0.1395,57.47,1,3550.61,BTC-28JUN19-3500-C
2019-02-16,BTC,28JUN19,3500,C,0.1475,57.99,2,3600.41,BTC-28JUN19-3500-C
2019-02-17,BTC,28JUN19,3500,C,0.1485,57.97,1,3620.74,BTC-28JUN19-3500-C
2019-02-19,BTC,28JUN19,3500,C,0.1985,61.18,1,3945.34,BTC-28JUN19-3500-C
2019-02-20,BTC,28JUN19,3500,C,0.18899999999999997,57.69,1,3924.21,BTC-28JUN19-3500-C
2019-02-21,BTC,28JUN19,3500,C,0.1835,57.48,7,3886.17,BTC-28JUN19-3500-C
2019-02-23,BTC,28JUN19,3500,C,0.214,59.5,1,4111.42,BTC-28JUN19-3500-C
2019-02-24,BTC,28JUN19,3500,C,0.217,59.73,1,4114.3,BTC-28JUN19-3500-C
2019-02-25,BTC,28JUN19,3500,C,0.1755,61.98,3,3793.77,BTC-28JUN19-3500-C
2019-02-26,BTC,28JUN19,3500,C,0.1725,60.77,2,3797.62,BTC-28JUN19-3500-C
2019-02-27,BTC,28JUN19,3500,C,0.16,58.64,7,3733.99,BTC-28JUN19-3500-C
