date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-06-07,BTC,21JUN19,10500,C,0.0035,81.18,1,8078.0,BTC-21JUN19-10500-C
2019-06-09,BTC,21JUN19,10500,C,0.0005,78.9,8,7552.15,BTC-21JUN19-10500-C
2019-06-10,BTC,21JUN19,10500,C,0.0025,89.32,8,7954.56,BTC-21JUN19-10500-C
2019-06-13,BTC,21JUN19,10500,C,0.001,80.58,3,8311.17,BTC-21JUN19-10500-C
2019-06-14,BTC,21JUN19,10500,C,0.0015,83.87,17,8528.96,BTC-21JUN19-10500-C
2019-06-15,BTC,21JUN19,10500,C,0.002,82.49,8,8830.67,BTC-21JUN19-10500-C
2019-06-16,BTC,21JUN19,10500,C,0.004,93.22,20,9057.42,BTC-21JUN19-10500-C
2019-06-17,BTC,21JUN19,10500,C,0.0065,103.48,16,9365.49,BTC-21JUN19-10500-C
2019-06-18,BTC,21JUN19,10500,C,0.0015,99.4,22,9117.05,BTC-21JUN19-10500-C
2019-06-19,BTC,21JUN19,10500,C,0.0005,100.36,16,9154.73,BTC-21JUN19-10500-C
