date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-06-07,BTC,14JUN19,7750,P,0.021,68.14,36,8018.65,BTC-14JUN19-7750-P
2019-06-08,BTC,14JUN19,7750,P,0.0255,64.98,4,7853.38,BTC-14JUN19-7750-P
2019-06-09,BTC,14JUN19,7750,P,0.0405,76.63,5,7662.06,BTC-14JUN19-7750-P
2019-06-10,BTC,14JUN19,7750,P,0.016,74.6,8,7994.41,BTC-14JUN19-7750-P
2019-06-11,BTC,14JUN19,7750,P,0.0135,73.19,16,7946.52,BTC-14JUN19-7750-P
2019-06-12,BTC,14JUN19,7750,P,0.0045,81.02,10,8137.82,BTC-14JUN19-7750-P
2019-06-13,BTC,14JUN19,7750,P,0.0005,113.24,25,8271.15,BTC-14JUN19-7750-P
