date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-30,ETH,12APR19,150,P,0.065,44.53,1,141.86,ETH-12APR19-150-P
2019-04-02,ETH,12APR19,150,P,0.025,76.91,22,158.2,ETH-12APR19-150-P
2019-04-03,ETH,12APR19,150,P,0.025,92.3,5,160.95,ETH-12APR19-150-P
2019-04-04,ETH,12APR19,150,P,0.033,104.97,18,158.81,ETH-12APR19-150-P
2019-04-05,ETH,12APR19,150,P,0.015,92.6,14,164.14,ETH-12APR19-150-P
2019-04-06,ETH,12APR19,150,P,0.013,101.28,9,165.9,ETH-12APR19-150-P
2019-04-07,ETH,12APR19,150,P,0.006,113.01,5,174.61,ETH-12APR19-150-P
2019-04-08,ETH,12APR19,150,P,0.003,127.42,2,185.93,ETH-12APR19-150-P
